;** RIFORNIMENTI DA DEPOSITI AL: 19/01/2018 **
 
Codice;Descrizione;Q.ta rifornimento;in arrivo LBX (PZ);da TRI;(in pallet);in arrivo (PZ);da PAR;(in pallet);in arrivo (PZ);da CAS;(in pallet);in arrivo (PZ);Mancante
008794;TEXACO MOTOR OIL 10W40 LT.1000;        -48;         0;       -48;       -48;         0;         0;         0;         0;         0;         0;         0;          0
008989;TEXACO URSA X 10W40 LT.20     ;          4;         0;         4;         1;         0;         0;         0;         0;         0;         0;         0;          0
014114;ORLEN LUBRO SF/CC 20W50 LT.1  ;          2;         0;         2;         1;         0;         0;         0;         0;         0;         0;         0;          0
008755;TEXACO MEROPA  320 LT. 208    ;          4;         4;         4;         1;         0;         0;         0;         0;         0;         0;         0;          0
008742;TEXACO HAV ENERGY 5W30 LT. 5  ;          3;         4;         3;         1;         0;         0;         0;         0;         0;         0;         0;          0
009041;TEXACO TEXCLAD 2 KG.18        ;          3;         0;         3;         1;         0;         0;         0;         0;         0;         0;         0;          0
008846;TEXACO COMPR EP VDL  68 LT.20 ;          3;         0;         3;         1;         0;         0;         0;         0;         0;         0;         0;          0
008896;TEXACO RANDO HD 150 LT.208    ;          3;         0;         2;         1;         0;         0;         0;         0;         0;         0;         0;          1
008769;TEXACO HAV ULTRA S 5W30 LT.  5;          2;         0;         2;         1;         0;         0;         0;         0;         0;         0;         0;          0
008731;TEXACO GEAR EP-C 80W90 LT.208 ;          2;        32;         2;         1;         0;         0;         0;         0;         0;         0;         0;          0
008747;TEXACO HAV MULTI-V ATF LT.1   ;          7;         0;         7;         1;         0;         0;         0;         0;         0;         0;         0;          0
009519;TEXACO TUTA HAVOLINE TG XL    ;          7;         0;         7;         1;         0;         0;         0;         0;         0;         0;         0;          0
009520;TEXACO TUTA HAVOLINE TG L     ;          7;         0;         7;         1;         0;         0;         0;         0;         0;         0;         0;          0
008753;TEXACO MEROPA  220 LT. 208    ;          2;         0;         2;         1;         0;         0;         0;         0;         0;         0;         0;          0
015338;MOMO FODERA UNIV - SC023BG    ;         -5;         0;        -5;         1;         0;         0;         0;         0;         0;         0;         0;          0
009961;CEPSA AVANT 5W40 SYNT LT 1    ;         26;       288;        26;         1;         0;         0;         0;         0;         0;         0;         0;          0
009075;TEXACO S.TRACTOR 10W30 LT.20  ;          1;         0;         1;         1;         0;         0;         0;         0;         0;         0;         0;          0
008957;TEXACO HAV ULTRA V 5W30 LT208 ;          1;         0;         1;         1;         0;         0;         0;         0;         0;         0;         0;          0
009410;TEXACO MULTIFAK T EP 2 KG.180 ;          1;         0;         1;         1;         0;         0;         0;         0;         0;         0;         0;          0
014657;TEXACO HAV PRODS M 5W30 LT.4  ;          1;        34;         1;         1;         0;         0;         0;         0;         0;         0;         0;          0
010294;TEXACO STARLEX EP 2 KG.180    ;          1;        48;         1;         1;         0;         0;         0;         0;         0;         0;         0;          0
009076;TEXACO HYDRAUL HDZ  32 LT.1000;          1;         0;         1;         1;         0;         0;         0;         0;         0;         0;         0;          0
014630;TEXACO HAV XLC 50/50 LT. 208  ;          1;         0;         1;         1;         0;         0;         0;         0;         0;         0;         0;          0
