;** RIFORNIMENTI DA DEPOSITI AL: 13/09/2016 **
 
Codice;Descrizione;Q.ta rifornimento;in arrivo LBX (PZ);da MTN;(in pallet);in arrivo (PZ);da SLI;(in pallet);in arrivo (PZ);da GIC;(in pallet);in arrivo (PZ);da SHI;(in pallet);in arrivo (PZ);da    ;(in pallet);in arrivo (PZ);da TRI;(in pallet);in arrivo (PZ);Mancante
009700;TEXACO MEROPA  460 LT. 208    ;          2;         4;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         0;          0
003386;URSUS MAX BATTERIA  L35 DX    ;         41;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        41;         1;         0;          0
010322;TEXACO MOLYTEX EP2 KG.18      ;         12;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        12;         1;         0;          0
010095;CEPSA GENUINE 5W30 SYN LT.4   ;         60;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        60;         1;         0;          0
008979;TEXACO URSA FE 5W30 LT.208    ;          1;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         0;          0
009089;MV+ BATTERIA 82 B             ;         18;        96;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        18;         1;         0;          0
009961;CEPSA AVANT 5W40 SYNT LT 1    ;        162;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       162;         1;         0;          0
009941;CEPSA XTAR 10W40 SYNT LT.20   ;         12;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        12;         1;         0;          0
010293;TEXACO MULTIFAK EP 2 KG. 18   ;         11;        32;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        11;         1;         0;          0
008037;CEPSA ATF AVANT DIII LT.1     ;        180;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       180;         1;         0;          0
009891;CEPSA AVANT 10W40 SYNT LT.4   ;         56;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        56;         1;         0;          0
008800;TEXACO TEXAMATIC 4291 LT.208  ;          1;         4;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         0;          0
008737;TEXACO GEOTEX LA 40 LT.208    ;          1;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         0;          0
009921;CEPSA XTAR 5W30 C1 DPF LT.5   ;         25;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        25;         1;         0;          0
009478;TEXACO MOTOR OIL S 5W40 LT.208;          1;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         0;          0
010106;TEXACO URSA HEV DU 10W LT.20  ;         12;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        12;         1;         0;          0
010301;TEXACO URSA X 10W40 LT.208    ;          1;         4;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         0;          0
009254;CEPSA TR. EP 80W90 LT.208     ;          1;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         0;          0
009183;CEPSA MOTO 2T SINT COMP LT.1  ;        132;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       132;         1;         0;          0
009066;MV+ BATTERIA 220 S            ;          4;       144;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         4;         1;         0;          0
006408;MV+ BATTERIA 150              ;          5;        17;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         5;         1;         0;          0
013052;TEXACO HAV XLC CONCENT LT. 208;          1;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         0;          0
009131;CEPSA MOTO 2T SINT SCOO LT.1  ;        120;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       120;         1;         0;          0
008772;TEXACO HAV ULTRA S 5W40 LT. 5 ;         20;       144;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         8;         1;         0;          0
009175;CEPSA MOTO 4T URBAN 10W40 LT.1;        108;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       108;         1;         0;          0
008036;CEPSA ATF 70 LT.1             ;         90;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        90;         1;         0;          0
009082;MV+ BATTERIA 40 J B1          ;         12;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        12;         1;         0;          0
012790;LUBEX ORIGINAL 44 L1B         ;         15;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        15;         1;         0;          0
009940;CEPSA XTAR 10W40 SYNT LT.5    ;         20;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        20;         1;         0;          0
009170;CEPSA MOTO 4T R.66 10W50 LT.1 ;         84;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        84;         1;         0;          0
009888;CEPSA XTAR 5W30 C1 DPF LT.1   ;         51;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        51;         1;         0;          0
009939;CEPSA XTAR 10W40 SYNT LT.4    ;         20;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        20;         1;         0;          0
009933;CEPSA XTAR 5W30 C4 DPF LT.5   ;         10;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        10;         1;         0;          0
009894;CEPSA XTAR 5W30 C3/D2 LT.1    ;         35;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        35;         1;         0;          0
008955;TEXACO HAV ULTRA V 5W30 LT.1  ;         36;       780;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        36;         1;         0;          0
009074;TEXACO MTF 94 LT.20           ;          2;         5;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         2;         1;         0;          0
008845;TEXACO COMPR EP VDL  46 LT.20 ;          3;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         3;         1;         0;          0
008956;TEXACO HAV ULTRA V 5W30 LT.20 ;          2;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         2;         1;         0;          0
008926;TEXACO STARPLEX EP 2 KG.18    ;          2;         2;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         0;          0
009151;CEPSA AVANT 5W40 SYNT LT.4    ;         10;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        10;         1;         0;          0
013051;TEXACO HAV XLC CONCENT LT. 20 ;          3;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         3;         1;         0;          0
009409;TEXACO MULTIFAK T EP 2 KG.18  ;          2;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         2;         1;         0;          0
