;** RIFORNIMENTI DA DEPOSITI AL: 05/10/2017 **
 
Codice;Descrizione;Q.ta rifornimento;in arrivo LBX (PZ);da TRI;(in pallet);in arrivo (PZ);da PAR;(in pallet);in arrivo (PZ);Mancante
010147;TEXACO LUBE WATCH OIL ANALISYS;         46;         0;        20;         2;         0;         0;         2;         0;         26
009938;CEPSA XTAR 10W40 SYNT LT.1    ;        290;         0;       290;         1;         0;         0;         2;         0;          0
009697;TEXACO HAV ENERGY MS 5W30 LT.1;        200;       780;       200;         1;         0;         0;         2;         0;          0
006232;BOSCH BATTERIA S5013 (100A DX);          9;         0;         0;         1;         0;         9;         1;         0;          0
008763;TEXACO RANDO HD  68 LT. 20    ;         19;         0;        19;         1;         0;         0;         1;         0;          0
009719;CEPSA XTAR 5W30 C2 DPF LT.4   ;         50;         0;        50;         1;         0;         0;         1;         0;          0
014323;TEXACO MOTOR OIL S 5W30 LT.1  ;        236;       312;       236;         1;         0;         0;         1;         0;          0
008435;CEPSA TR. 75W80 LT.1          ;        189;         0;       189;         1;         0;         0;         1;         0;          0
008730;TEXACO GEAR EP-C 80W90 LT.20  ;         14;         0;        14;         1;         0;         0;         1;         0;          0
009720;TEXACO HAV ULTRA R 5W30 LT.208;          1;         0;         1;         1;         0;         0;         1;         0;          0
009924;CEPSA XTAR 5W30 C2 DPF LT.5   ;         35;         0;        35;         1;         0;         0;         1;         0;          0
016040;SPARCO BATTERIA KK72          ;         17;         0;        17;         1;         0;         0;         1;         0;          0
015099;ULTRAX BATTERIA 44 L1         ;         30;     4.104;        30;         1;         0;         0;         1;         0;          0
008793;TEXACO TECHRON D  CONC ML350  ;        111;         0;       111;         1;         0;         0;         1;         0;          0
013233;TEXACO ANTIFREEZE LT.208      ;          2;         0;         2;         1;         0;         0;         1;         0;          0
008802;TEXACO TEXAMATIC 7045E LT.208 ;          1;         0;         1;         1;         0;         0;         1;         0;          0
009402;TEXACO RANDO HD LVZ 46 LT.208 ;          1;         0;         1;         1;         0;         0;         1;         0;          0
010296;TEXACO URSA TD 10W40 LT.20    ;         11;         0;        11;         1;         0;         0;         1;         0;          0
009891;CEPSA AVANT 10W40 SYNT LT.4   ;         53;         0;        53;         1;         0;         0;         1;         0;          0
008732;TEXACO GEAR EP-C 85W140 LT.208;          1;         0;         1;         1;         0;         0;         1;         0;          0
008731;TEXACO GEAR EP-C 80W90 LT.208 ;          1;         0;         1;         1;         0;         0;         1;         0;          0
008736;TEXACO GEAR S4 75W90 LT.20    ;          6;         0;         6;         1;         0;         0;         1;         0;          0
008803;TEXACO TEXAMATIC 7045E LT.20  ;          8;         0;         8;         1;         0;         0;         1;         0;          0
008735;TEXACO GEAR LS 85W90 LT.20    ;          6;         7;         4;         1;         0;         0;         1;         0;          0
009894;CEPSA XTAR 5W30 C3/D2 LT.1    ;         89;         0;        89;         1;         0;         0;         1;         0;          0
008782;TEXACO MULTIG 75W90 R LT.20   ;          6;         0;         6;         1;         0;         0;         1;         0;          0
016042;SPARCO BATTERIA KK85          ;         10;         0;        10;         1;         0;         0;         1;         0;          0
008745;TEXACO HAV EXTRA 10W40 LT.20  ;          9;         0;         9;         1;         0;         0;         1;         0;          0
008733;TEXACO GEAR EP-C 85W140 LT.20 ;          8;         0;         8;         1;         0;         0;         1;         0;          0
008953;TEXACO HAV ULTRA 5W40 LT. 1   ;        117;         0;       117;         1;         0;         0;         1;         0;          0
008751;TEXACO MEROPA  150 LT. 208    ;          1;         0;         1;         1;         0;         0;         1;         0;          0
015098;ULTRAX BATTERIA 40 L0         ;         19;       576;        19;         1;         0;         0;         1;         0;          0
008861;TEXACO HYDRAUL HDZ  46 LT. 20 ;          8;         0;         4;         1;         0;         0;         1;         0;          4
009960;TEXACO MOTOR OIL 5W40 LT.1    ;        112;         0;       112;         1;         0;         0;         1;         0;          0
009939;CEPSA XTAR 10W40 SYNT LT.4    ;         31;         0;        31;         1;         0;         0;         1;         0;          0
009093;TEXACO HAV XLI (CL00) LT.20   ;          7;        32;         7;         1;         0;         0;         1;         0;          0
009955;TEXACO HAV ULTRA R 5W30 LT. 1 ;         76;         0;        76;         1;         0;         0;         1;         0;          0
014609;ECLIPSE BATTERIA 100 J        ;          7;         0;         7;         1;         0;         0;         1;         0;          0
014658;TEXACO HAV PRODS P 0W30 LT.1  ;         55;         0;        55;         1;         0;         0;         1;         0;          0
008881;TEXACO MULTIFAK EP 0 KG.18    ;          5;         0;         5;         1;         0;         0;         1;         0;          0
015020;TEXACO BROCHURE-HAV 251/252   ;        192;         0;       192;         1;         0;         0;         1;         0;          0
008998;TEXACO CETUS PAO 46 LT.20     ;          3;         0;         3;         1;         0;         0;         1;         0;          0
008989;TEXACO URSA X 10W40 LT.20     ;          5;         0;         5;         1;         0;         0;         1;         0;          0
008754;TEXACO MEROPA  220 LT. 20     ;          6;         0;         6;         1;         0;         0;         1;         0;          0
009933;CEPSA XTAR 5W30 C4 DPF LT.5   ;         13;         0;        13;         1;         0;         0;         1;         0;          0
016044;SPARCO BATTERIA KK100         ;          5;         0;         5;         1;         0;         0;         1;         0;          0
009479;TEXACO MOTOR OIL S 5W40 LT.20 ;          5;         0;         5;         1;         0;         0;         1;         0;          0
010117;TEXACO URSA TDX 10W40 LT. 20  ;          5;         0;         5;         1;         0;         0;         1;         0;          0
009441;TEXACO WAY LUBRI X  68 LT.20  ;          5;         0;         2;         1;         0;         0;         1;         0;          3
009041;TEXACO TEXCLAD 2 KG.18        ;          3;         0;         1;         1;         0;         0;         1;         0;          2
008883;TEXACO MULTIFAK EP 1 KG.18    ;          4;         5;         4;         1;         0;         0;         1;         0;          0
009516;TEXACO SCHEDA RIPARAZIONE     ;        138;         0;        10;         1;         0;         0;         1;         0;        128
009412;TEXACO TEXAMATIC 4291 LT.20   ;          4;         0;         4;         1;         0;         0;         1;         0;          0
008927;TEXACO STARPLEX EP 2 KG.0,400 ;        120;         0;       120;         1;         0;         0;         1;         0;          0
008893;TEXACO RANDO HD  10 LT.20     ;          4;         0;         4;         1;         0;         0;         1;         0;          0
008956;TEXACO HAV ULTRA V 5W30 LT.20 ;          3;         0;         3;         1;         0;         0;         1;         0;          0
008792;TEXACO TECHRON CONC PLUS ML350;         36;         0;        36;         1;         0;         0;         1;         0;          0
008985;TEXACO URSA LE 15W40 LT.20    ;          4;         0;         4;         1;         0;         0;         1;         0;          0
008739;TEXACO HAV ENERGY 5W30 LT. 1  ;         58;         0;        58;         1;         0;         0;         1;         0;          0
008845;TEXACO COMPR EP VDL  46 LT.20 ;          4;         0;         4;         1;         0;         0;         1;         0;          0
008863;TEXACO HYDRAUL HDZ  68 LT. 20 ;          4;         0;         1;         1;         0;         0;         1;         0;          3
012593;TEXACO MER SYNLUB WS 320 LT.20;          2;         0;         2;         1;         0;         0;         1;         0;          0
008768;TEXACO HAV ULTRA S 5W30 LT. 20;          3;         0;         3;         1;         0;         0;         1;         0;          0
008752;TEXACO MEROPA  150 LT. 20     ;          4;         0;         4;         1;         0;         0;         1;         0;          0
008954;TEXACO HAV ULTRA 5W40 LT.20   ;          3;         0;         3;         1;         0;         0;         1;         0;          0
009816;TEXACO TEXATHERM HT 22 LT.20  ;          4;         3;         3;         1;         0;         0;         1;         0;          0
008786;TEXACO MULTIG MTF 75W80 LT.20 ;          2;         0;         2;         1;         0;         0;         1;         0;          0
008801;TEXACO TEXAMATIC 7045E LT.1   ;         47;         0;        47;         1;         0;         0;         1;         0;          0
009440;TEXACO WAY LUBRI X 220 LT.20  ;          3;         0;         3;         1;         0;         0;         1;         0;          0
009961;CEPSA AVANT 5W40 SYNT LT 1    ;         39;         0;        39;         1;         0;         0;         1;         0;          0
008905;TEXACO RANDO HDZ  15 LT. 20   ;          3;         0;         3;         1;         0;         0;         1;         0;          0
009926;CEPSA XTAR 5W30 C3/D2 LT.4    ;          8;         0;         8;         1;         0;         0;         1;         0;          0
008729;TEXACO GEAR EP-C 80W90 LT.1   ;         49;         0;        49;         1;         0;         0;         1;         0;          0
009074;TEXACO MTF 94 LT.20           ;          2;         0;         2;         1;         0;         0;         1;         0;          0
009921;CEPSA XTAR 5W30 C1 DPF LT.5   ;          7;         0;         7;         1;         0;         0;         1;         0;          0
008995;TEXACO URSA XLE 5W30 LT.20    ;          2;         0;         2;         1;         0;         0;         1;         0;          0
009371;TEXACO NOVATEX EP2 KG.18      ;          2;         0;         2;         1;         0;         0;         1;         0;          0
010322;TEXACO MOLYTEX EP2 KG.18      ;          2;         0;         2;         1;         0;         0;         1;         0;          0
008757;TEXACO MULTIFAK 264  KG.18    ;          2;         0;         2;         1;         0;         0;         1;         0;          0
015085;CEPSA XTAR 5W20 ECO B LT.1    ;         33;         0;        33;         1;         0;         0;         1;         0;          0
010108;TEXACO URSA HEV DU 30 LT.20   ;          3;         0;         3;         1;         0;         0;         1;         0;          0
006857;CEPSA TR. EP 85W140 LT.5      ;         10;         0;         4;         1;         0;         0;         1;         0;          6
009888;CEPSA XTAR 5W30 C1 DPF LT.1   ;         27;         0;        27;         1;         0;         0;         1;         0;          0
008741;TEXACO HAV ENERGY 5W30 LT.20  ;          2;         0;         2;         1;         0;         0;         1;         0;          0
