               2022000858     00001S750           009577-C12                                             0000000873          00000000012000PZ                                                00038435                 2021                     AG-217-2021-131          20211229                 000008738008959954025
SIN            2022015165     00003S750           026731-VIS                                             0000009668          00000000004000PZ                                                00005495                 2022                     1633                     20220221                 000096688109432
SIN            2022015165     00004S750           031244-VIS                                             0000008400          00000000004000PZ                                                00005495                 2022                     1633                     20220221                 000084007514054
SIN            2022015165     00005S750           031247-VIS                                             0000010275          00000000002000PZ                                                00005495                 2022                     1633                     20220221                 000102757514102
SIN            2022015165     00006S750           031249-VIS                                             0000012375          00000000004000PZ                                                00005495                 2022                     1633                     20220221                 000123757514036
SIN            2022015165     00007S750           031250-VIS                                             0000017200          00000000002000PZ                                                00005495                 2022                     1633                     20220221                 000172007514037
SIN            2022015166     00001S750           026801-FTO                                             0000178350          00000000001000PZ                                                00006170                 2022                     -84918                   20220228                 00178350
SIN            2022015166     00002S750           011835-FTO                                             0000170000          00000000001000PZ                                                00006170                 2022                     -84918                   20220228                 00170000
SIN            2022015166     00003S750           022378-VIS                                             0000000001          00000000001000PZ                                                00006170                 2022                     -84918                   20220228                 00000001
SIN            2022015168     00001S750           008900-CU0                                             0000876000          00000000001000PZ                                                00005683                 2022                     16OF.013994-84758        20220223                 00876000
SIN            2022015170     00001S750           014640-C12                                             0000000842          00000000012000PZ                                                00003091                 2022                     10-83864                 20220201                 00000842
SIN            2022015172     00001S750           008860-FTO                                             0000179710          00000000003000PZ                                                00005633                 2022                     -84736                   20220223                 00179710
SIN            2022015172     00002S750           008861-LAT                                             0000017480          00000000005000PZ                                                00005633                 2022                     -84736                   20220223                 00017480
SIN            2022015172     00003S750           009412-LAT                                             0000017400          00000000001000PZ                                                00005633                 2022                     -84736                   20220223                 00017400
SIN            2022015172     00004S750           022011-LAT                                             0000018140          00000000001000PZ                                                00005633                 2022                     -84736                   20220223                 00018140
SIN            2022015172     00005S750           021630-LAT                                             0000017960          00000000003000PZ                                                00005633                 2022                     -84736                   20220223                 00017960
SIN            2022015172     00006S750           014134-LAT                                             0000017440          00000000003000PZ                                                00005633                 2022                     -84736                   20220223                 00017440
SIN            2022015172     00007S750           014650-C12                                             0000000853          00000000012000PZ                                                00005633                 2022                     -84736                   20220223                 00000853
SIN            2022015172     00008S750           014135-FTO                                             0000181370          00000000001000PZ                                                00005633                 2022                     -84736                   20220223                 00181370
SIN            2022015172     00009S750           008735-LAT                                             0000018040          00000000002000PZ                                                00005633                 2022                     -84736                   20220223                 00018040
SIN            2022015172     00010S750           017326-FTO                                             0000183040          00000000001000PZ                                                00005633                 2022                     -84736                   20220223                 00183040
SIN            2022015172     00011S750           017317-FTO                                             0000177840          00000000001000PZ                                                00005633                 2022                     -84736                   20220223                 00177840
SIN            2022015172     00012S750           017327-LAT                                             0000017600          00000000001000PZ                                                00005633                 2022                     -84736                   20220223                 00017600
SIN            2022015172     00013S750           017318-LAT                                             0000017100          00000000004000PZ                                                00005633                 2022                     -84736                   20220223                 00017100
SIN            2022015173     00001S750           021538-LAT                                             0000020000          00000000001000PZ                                                00003632                 2022                     -84051                   20220205                 00020000
SIN            2022015174     00001S750           021538-LAT                                             0000020000          00000000001000PZ                                                00003633                 2022                     -84052                   20220205                 00020000
SIN            2022015177     00001S750           026845-LAT                                             0000022520          00000000024000PZ                                                00005715                 2022                     -84769                   20220223                 00022520
SIN            2022015177     00002S750           032328-LAT                                             0000020000          00000000016000PZ                                                00005715                 2022                     -84769                   20220223                 00020000
SIN            2022015177     00003S750           022378-VIS                                             0000000001          00000000001000PZ                                                00005715                 2022                     -84769                   20220223                 00000001
